Date,P,Blue,Red,Winner,Len,BG,BK,BT,BD,RG,RK,RT,RD
2022-03-12 ,12.5,Flamengo Esports,Rensga Esports,Rensga Esports,45:12,77803,15,6,2,86260,22,9,4
2022-03-12 ,12.5,LOUD,KaBuM! e-Sports,KaBuM! e-Sports,46:13,77593,14,5,3,83433,20,9,4
2022-03-12 ,12.5,FURIA Esports,RED Canids,FURIA Esports,38:20,71269,13,10,3,64316,5,5,2
2022-03-12 ,12.5,INTZ,paiN Gaming,paiN Gaming,26:53,42700,4,4,1,53700,16,8,2
2022-03-13 ,12.5,KaBuM! e-Sports,Netshoes Miners,Netshoes Miners,36:34,68672,31,6,3,70355,31,8,2
2022-03-13 ,12.5,Rensga Esports,INTZ,Rensga Esports,31:39,55094,12,7,2,49284,14,2,3
2022-03-13 ,12.5,RED Canids,Flamengo Esports,RED Canids,25:17,44900,7,4,1,50600,19,8,3
2022-03-13 ,12.5,paiN Gaming,LOUD,paiN Gaming,38:54,74233,22,8,1,66206,17,5,4
2022-03-13 ,12.5,Liberty,FURIA Esports,Liberty,39:14,69676,14,11,5,66830,5,7,1
2022-03-19 ,12.5,paiN Gaming,Rensga Esports,paiN Gaming,30:58,60600,17,9,3,52600,9,3,2
2022-03-19 ,12.5,FURIA Esports,KaBuM! e-Sports,KaBuM! e-Sports,29:39,46300,3,3,0,55800,16,8,4
2022-03-19 ,12.5,Flamengo Esports,Liberty,Liberty,27:29,42000,4,3,0,53600,15,8,3
2022-03-19 ,12.5,INTZ,RED Canids,RED Canids,40:57,66920,15,4,2,70163,14,9,3
2022-03-19 ,12.5,LOUD,Netshoes Miners,Netshoes Miners,31:39,51736,6,3,0,61992,21,9,5
2022-03-20 ,12.5,Liberty,INTZ,Liberty,25:11,49400,17,10,1,39700,7,2,1
2022-03-20 ,12.5,Rensga Esports,LOUD,LOUD,40:08,71997,24,5,3,78395,30,10,3
2022-03-20 ,12.5,Netshoes Miners,FURIA Esports,FURIA Esports,33:19,57639,20,4,1,67133,31,9,3
2022-03-20 ,12.5,KaBuM! e-Sports,Flamengo Esports,KaBuM! e-Sports,31:05:00,64200,20,11,4,52900,12,2,1
2022-03-20 ,12.5,RED Canids,paiN Gaming,paiN Gaming,30:32:00,47700,8,2,2,61400,21,9,3
