Date,P,Blue,Red,Winner,Bans,Bans,Picks,Picks,Blue Roster,Red Roster,Len,BG,BK,BT,BD,BB,BRH,RG,RK,RT,RD,RB,RRH,SB,VOD
2022-02-05 ,12.2,Flamengo Esports,paiN Gaming,paiN Gaming,"Gwen,Leona,Zeri,Gnar,Kennen","Twisted Fate,Caitlyn,Corki,Zoe,Jarvan IV","Renekton,Lee Sin,Viktor,Aphelios,Nautilus","Jayce,Xin Zhao,Azir,Jinx,Braum","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage",36:36,54723,6,2,1,0,2,67394,14,9,5,1,0,SB,https://www.youtube.com/watch?v=FbCcPnkQBCQ
2022-02-06 ,12.2,KaBuM! e-Sports,LOUD,KaBuM! e-Sports,null,null,null,null,null,null,25:49,53200,24,9,1,null,null,43800,9,3,2,null,null,SB,https://www.youtube.com/watch?v=02jiKVfchxw&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=98
2022-02-06 ,12.2,RED Canids,FURIA Esports,FURIA Esports,null,null,null,null,null,null,27:09,43900,4,3,0,null,null,52100,11,10,4,null,null,SB,https://www.youtube.com/watch?v=OZfgeEikG-Y&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=97
2022-02-06 ,12.2,paiN Gaming,INTZ,INTZ,null,null,null,null,null,null,31:15,50600,4,4,0,null,null,59700,16,10,4,null,null,SB,https://www.youtube.com/watch?v=0_aj_pk4pX0&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=96
2022-02-06 ,12.2,Liberty,Netshoes Miners,Liberty,null,null,null,null,null,null,31:23,58400,17,10,3,null,null,44600,3,0,1,null,null,SB,https://www.youtube.com/watch?v=rx3LAZm_EFw&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=95
2022-02-10 ,12.2,FURIA Esports,Rensga Esports,FURIA Esports,null,null,null,null,null,null,30:22,61900,24,11,4,null,null,50300,14,2,0,null,null,SB,https://www.youtube.com/watch?v=BByT3c4zob4&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=94
2022-02-10 ,12.2,Rensga Esports,Flamengo Esports,Flamengo Esports,"Ryze,Gwen,Twisted Fate,Jayce,Irelia","Caitlyn,Corki,Zeri,Vex,Camille","Ornn,Viego,Syndra,Jinx,Tahm Kench","Sett,Xin Zhao,Orianna,Aphelios,Rakan","Ayel,Minerva,Goku,Hades (Park Ji-seong),Guard","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong",40:20,61571,10,4,4,0,2,69818,20,7,2,2,0,SB,https://www.youtube.com/watch?v=nFgmw-dOhnE
2022-02-12 ,12.3,INTZ,Rensga Esports,Rensga Esports,null,null,null,null,null,null,26:57,42200,7,2,0,null,null,54400,17,9,3,null,null,SB,https://www.youtube.com/watch?v=55o-i2kkBRQ&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=92
2022-02-12 ,12.3,Flamengo Esports,RED Canids,Flamengo Esports,"Diana,Akali,Caitlyn,LeBlanc,Jax","Zeri,Gwen,Twisted Fate,Jayce,Orianna","Camille,Xin Zhao,Zoe,Jinx,Tahm Kench","Darius,Lee Sin,Viktor,Aphelios,Lulu","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)",39:16,70121,19,11,4,1,0,65483,10,7,2,0,1,SB,https://www.youtube.com/watch?v=7d_JdHeg-J8
2022-02-12 ,12.3,FURIA Esports,Liberty,FURIA Esports,"Ryze,Viktor,Jayce,Aphelios,Jhin","Zeri,Caitlyn,Gwen,Gnar,Sylas","Graves,Volibear,Zoe,Jinx,Karma","Renekton,Xin Zhao,Twisted Fate,Varus,Nautilus","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert","Kiari,Disamis,Krastyel,Matsukaze,Wos",35:37,62726,14,10,3,1,1,59152,12,6,2,0,1,SB,https://www.youtube.com/watch?v=68CCcCCX-h8
